,description_x
35,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
36,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
38,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
40,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
42,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
44,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
45,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
46,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
47,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
57,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
58,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
62,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
63,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
64,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
66,"After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth."
70,A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.
71,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
72,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems."
73,"To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
74,"To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
75,A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
76,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
77,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?
83,Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.
84,A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
85,"Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California."
88,A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.
90,A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.
91,"After a search-and-destroy mission leads to betrayal, an elite black ops squad seeks revenge. But they must remain deep undercover to even the score."
93,"After a decade in prison, a Palestinian man with a dark secret returns to the West Bank and searches for the daughter he lost long ago."
97,"Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner."
99,"Following the brutal 1949 murder of a small Mexican town's mayor, genteel and humble janitor Juan Vargas is appointed his successor."
105,"In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears."
109,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle."
110,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle."
111,"A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life."
114,"When the patriarch of an emigrant Nigerian family visits their female-led Canadian home, traditional values collide with newer ones."
118,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family."
121,"In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past."
122,"As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go."
124,The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.
125,A former mercenary is lured back into the dangerous business of finding missing children when the daughter of a mixed martial arts champ is kidnapped.
126,"When terrorists hijack Air Force One with the president and his family on board, the commander-in-chief takes matters into his own well-trained hands."
127,"The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember."
132,"When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior."
133,"With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu."
136,The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.
139,"In this retelling of “Hamlet” from Ophelia’s point of view, the lady-in-waiting’s shared love with Denmark’s prince is ruined by treachery and madness."
140,"When an unassuming elderly widow is arrested for treason, her tangled secret past as the KGB's longest-serving British spy is exposed."
142,"On their first voyage aboard the starship Enterprise, cocky rebel James T. Kirk and logic-driven Vulcan Spock try to defeat a vengeful Romulan commander."
143,"On their first voyage aboard the starship Enterprise, cocky rebel James T. Kirk and logic-driven Vulcan Spock try to defeat a vengeful Romulan commander."
146,"When a Texas professor and advocate for the elimination of the death penalty is falsely accused of a crime, he ends up on death row himself."
147,"After Princess Diana's death, Queen Elizabeth II and Tony Blair face public demands that she be memorialized in a manner beyond standard protocol."
148,"A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders."
151,A vampire warrior begins to question her mission in the ancient war between the undead and werewolves when she falls for a human under her protection.
155,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
158,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
159,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
160,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
162,"From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series."
163,An inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy. But darkness lies where they least expect it.
166,"After running away from her marriage, a woman enters a dangerous agreement with an unfamiliar man to save her father's company and her reputation."
168,"Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime."
170,"Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time."
173,"The Earth Federation's last hope in its fight against the Principality of Zeon is the prototype mobile suit Gundam, piloted by civilian Amur Ray."
177,This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates.
178,"Philandering his way across Europe to find the grandfather he's never met, William unexpectedly befriends a 14-year-old who changes how he sees women."
179,"After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight."
181,"In this biopic, war correspondent Marie Colvin risks it all to bring back the truth from the frontlines, despite the toll it takes on her own life."
183,"After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl."
185,"Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex."
186,"Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex."
188,"A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker."
189,"A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker."
190,"Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants."
191,"Bryce and Juli first meet as children, with Juli having a crush on Bryce. As they mature, it appears their bond may blossom into something more."
192,"After his fiancée, Alex, dumps him at the altar, Dave finds himself nursing a broken heart and battling her for custody of their quirky friends."
193,A poet and a photographer take a chance on romance but find their ambitions and baggage could keep them from taking their relationship further.
194,"When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."
195,"When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."
196,"Neighbors but by no means friends, high schoolers Yolanda and Mari discover a bond and an attraction when they're made study partners."
197,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.
199,"Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics."
201,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.
202,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.
203,"Still-grieving widow Marnie moves to Los Angeles to be close to daughter Lori, but soon discovers new outlets for her maternal and romantic needs."
208,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.
209,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
211,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
212,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
214,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
217,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
219,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
222,"This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it."
223,"Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events."
224,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.
225,"A crack team of DEA agents plots a daring heist, making off with $10 million in drug money. They soon find themselves targets of an unknown killer."
227,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path."
233,"When a lost and lonely alien crash-lands on Earth, his new crew of talking animal friends helps him get back home — and try to save the world!"
234,"Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi."
235,"After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out."
237,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy."
240,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
241,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
242,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
244,A teenager's picture-perfect family is torn apart when he uncovers unnerving evidence of a serial killer close to home.
245,"A US Army officer uncovers a conspiracy about weapons of mass destruction in Iraq, launching a crusade that creates enemies within his own military."
246,"Haunted by a monstrous crime, three childhood friends in Boston cross paths again decades later in connection with a murder investigation."
247,An Egyptologist joins a mission into the unknown when he helps the military unlock the mystery of a stone archway that's a portal to another universe.
248,A veteran journalist teams up with a young reporter to untangle a web of lies surrounding the suspicious death of a woman tied to a powerful politician.
250,"After his affluent father passes, a man must survive seven days in the Nigerian neighborhood of Ajegunle, where obstacles keep him from his inheritance."
257,A formidable Kerala chief minister’s party loyalties and personal principles are tested when a damning social media post sparks a heated power struggle.
258,A formidable Kerala chief minister’s party loyalties and personal principles are tested when a damning social media post sparks a heated power struggle.
260,The uneventful life of middle-aged Kudret turns upside down when a road trip turns into a wild race for survival with killers in hot pursuit.
261,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
263,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
265,"Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them."
266,"In this intimate drama, circumstances draw together four people from different castes – which would normally preclude them from forming friendships."
267,Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match.
268,"After marrying a mysterious British aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets."
270,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all."
272,Two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.
273,"While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface."
275,"A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion."""
276,"In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed."
280,"Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role."
283,"Accustomed to getting her way, a wealthy teenage girl from Los Angeles is sent to a strict boarding school in England to clean up her act."
286,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
287,A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
288,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house."
289,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house."
290,King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.
292,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives."
293,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.
295,"Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined."
297,This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.
298,"This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes."
301,A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.
302,"Sent away from his family to a remote mountain town, teacher Mahir helps the villagers build a school – and inspires a path to hope for them all."
305,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
306,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
308,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
309,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
310,"Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested."
312,"New student Acha falls for Iqbal, a high-achieving student who's torn between love and family pressure."
313,"Parker is a thief – but he has scruples. So when his crew double-crosses him, Parker teams up with an unlikely partner to even the score."
314,A widowed lawyer struggles to retain custody of his biracial granddaughter when the girl's paternal grandmother questions his competence.
315,"Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón."
316,"A father raising his children off the grid begins to question his anti-establishment, utopian views when a tragic loss pulls them back into society."
317,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma."
318,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma."
321,"Amid the violence of Pinochet's reign in 1978 Chile, emotionally dead Raúl finds escape in his obsession over the protagonist in ""Saturday Night Fever."""
322,"Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero."
323,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky."
325,"In 1960, Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice. Based on real events."
326,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.
328,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.
329,"Hired as a monkey repeller upon moving to Delhi, a young man struggles to find his footing in his unenviable job and his place in the unforgiving world."
330,"After one too many run-ins with the law, a Hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch."
333,A reflective man must come to terms with his forced displacement from Vietnam when he returns to his birthplace to spread his parents' ashes.
334,A reflective man must come to terms with his forced displacement from Vietnam when he returns to his birthplace to spread his parents' ashes.
335,"As three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery."
336,"After her husband is sent to prison for eight years, medical student Ruby shelves her studies to focus on her partner's welfare as he serves his time."
337,"After her husband is sent to prison for eight years, medical student Ruby shelves her studies to focus on her partner's welfare as he serves his time."
339,Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.
341,"Following her mother's abrupt departure, a dynamic and determined teen goes to extraordinary lengths to protect and provide for her younger brother."
342,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.
343,"In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities."
344,"In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities."
349,"When a debt-ridden man reluctantly agrees to drive an American tourist around India, their stark differences lead to bickering… and unexpected bonding."
351,"When his wife becomes a murder suspect and is sent to prison, a professor plots a meticulous plan to take back her freedom and reunite his family."
353,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker."
356,"In a story of interconnected lives, three families of different religious faiths navigate conflicting beliefs, hardships and other struggles."
357,"Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
358,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians."
360,"After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged."
361,A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.
362,"In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor."
367,"When he becomes lost in the desert, pet chameleon Rango pretends he's a tough guy and ends up sheriff of a corrupt and violent frontier town."
368,An alien ordered to colonize Earth abandons his mission when he hears music for the first time and is determined to save his adopted planet.
370,"When young Mukhsin arrives in a new town, 10-year-old tomboy Orked adopts him as her new best friend, and the two develop a touching friendship that begins to spill over into the inklings of first love."
371,The stakes are high — on stage and off — when a group of talented young musicians face off for an inter-school talent competition.
372,"In search of aliens, a young woman's road trip becomes an emotional journey when she finds — and falls for — a charming companion with cancer."
373,"Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality."
374,Reality show alumni must compete in grueling physical contests and survive eliminations amid cutthroat alliances and steamy hookups to win big money.
375,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
377,"After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again."
378,"When his best friend gets stranded in the rain and becomes the subject of a romantic viral video, a morning show host must confront his true feelings."
379,Three gay siblings are told by their terminally ill father that they must each produce a grandchild in order to inherit their share of his fortune.
380,"Fighting to save his ancestors' mansion from demolition, Youssef unpacks a series of love stories that took place there with a journalist."
381,An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.
382,An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.
387,"After a serious accident, Lucie tries to rediscover herself as a dancer and meets Vincent, a talented b-boy battling his own insecurities."
388,"When a teenage girl develops romantic feelings for her childhood best friend, she finds herself changing her ways to win him over."
389,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
390,"After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck."
391,"A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own."
392,"After her family is murdered, a mild-mannered mom remakes herself into a badass vigilante in order to exact violent justice."
393,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
394,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
395,A young reporter's investigation into a string of grisly suicides takes a dangerous detour when she follows the clues to a cursed stretch of road.
397,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."
399,"After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul."
400,"A pair of former batchmates cross paths 30 years later when they wind up as new neighbors, and their reconnection soon blossoms into something more."
405,This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
407,This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
408,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
411,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
413,"In 1895 Mumbai, spirited Indian lad Shiv Talpade defies British rule and sparse funding – and physics – to build the world's first airplane."
414,"Years after leaving his bride-to-be at the altar, a man crosses paths with his ex and tries to make up for the past, only to find he's been forgotten."
415,A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller.
416,A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham.
420,"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."
421,A chance encounter soon intertwines the lives of a reserved businessman and a vibrant photographer who is living with a grave heart condition.
424,"Eight years after their breakup, college sweethearts Christine and Raf reconnect at different points in their lives as feelings from the past resurface."
426,A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.
428,"Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends."
430,This thriller traces Edward Snowden's journey from Army recruit to disillusioned government analyst bent on exposing vast U.S. surveillance programs.
431,"Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia."
432,"A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart."
433,"When the Great Famine ravages his beloved country, a battle-hardened Irishman deserts the British Empire and exacts revenge on the tyrants responsible."
434,"In the 1960s, Australian singer Helen Reddy struggles with misogyny in the music business — until she records an anthem for the women's movement."
435,"After years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past."
436,"Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay."
437,"A young couple's house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?"
439,"After 15 years in France, Kamal returns to his native Beirut and reassembles his dance crew, striving to modernize traditional Dabke routines."
440,"When the father of a boy with Down syndrome resists his neighbors' efforts to have the child institutionalized, miraculous events begin to occur."
441,A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.
442,"With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse."
443,"When Lebanon's Civil War deprives Zozo of his family, he's left with grief and little means as he escapes to Sweden in search of his grandparents."
444,"When an army of zombies invades a small town, it's up to an odd local boy with a knack for communicating with the dead to save the day."
445,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.
448,A group of singletons stumbles through the wild dating scene in Nairobi as two friends wonder if their relationship is more than platonic.
450,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.
453,A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.
454,A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.
455,"A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft."
456,A sex-obsessed young man tries to put his past behind him when he falls for an extraordinary woman who makes him want to change his lifestyle.
457,"Driven by greed, three rich friends seek to double their wealth and find themselves indebted to a ruthless gangster."
458,"This biopic chronicles the life and times of iconic Indian revolutionary Bhagat Singh, who led an armed resistance against the British in the 1920."
460,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation."
464,A Mississippi farmer turns outlaw as he leads a ragtag band of fellow Civil War deserters and escaped slaves in a rebellion against the Confederacy.
465,"From breakthrough science to the boundaries of morality, this documentary spotlights a revelation in genetic modification research known as CRISPR."
467,A group of vastly outnumbered U.S. soldiers at a remote Afghanistan base must fend off a brutal offensive by Taliban fighters in the Battle of Kamdesh.
469,"When his wife Andi returns to work, contractor Adam Burns becomes a stay-at-home dad and discovers that parenting is a tougher job than he realized."
470,This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.
472,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
473,"After failing to win the heart of an aristocrat's widow, a thief plans to abduct her, only to discover that there are others with the same idea."
475,"When the duplicitous Rajiv expresses his love for Payal, a cruel lie kicks off a story of self-discovery and unexpected romance."
476,A deceitful woman seduces two of her late husband’s crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom.
477,"A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later."
478,"In this silly Bollywood farce, the brothers of a Mafia princess set out on a comical mission to marry their sister into a respectable family."
481,"Raised in the privileged bubble of Delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay."
482,A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.
483,"When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them."
484,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime."
